Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
TravelContact	https://www.crunchbase.com/organization/travelcontact		Cloud Infrastructure, Software, Travel	http://www.travelcontact.com/	Miami, Florida, United States	TravelContact provides travel management, project management and transaction into a single, easy-to-use, cloud-based platform.	862,239	3,000	45,986.83	69.68%	-96.06%	0	1.0	0%	100%	0%	4,219,936	-688,810	-14.03%	Greater Miami Area, East Coast, Southern US	Active	2014-01-01	day		1-10							
Lightstream	https://www.crunchbase.com/organization/lightstream-4fdd		Cloud Infrastructure, Cloud Security, Information Technology	https://www.lightstream.tech	Salt Lake City, Utah, United States	Lightstream offers managed security and cloud services, network transformation, cloud infrastructure implementation, security services.	257,968	2,997	3,110.33	78.29%	13,000%	0	1.0	0%	100%	0%	4,221,237	-777,224	-15.55%	Western US	Active	2003-01-01	year		51-100							https://www.lightstream.tech/privacy-policy/
PDG Consulting	https://www.crunchbase.com/organization/pdg-consulting-ae82		Business Intelligence, Cloud Infrastructure, Enterprise Resource Planning (ERP), Software	https://pdgc.com/	Los Angeles, California, United States	PDG Consulting offers IT consulting, business intelligence, cloud platforms, data architecture and ERP assistance services.	267,875	2,994				21	1.5		50%		4,222,849			Greater Los Angeles Area, West Coast, Western US	Active	2010-01-01	year	1.0	101-250	Adam Tarshis			37863.0	USD	37863.0	
Resolve IT	https://www.crunchbase.com/organization/resolve-i-t		Cloud Infrastructure, SaaS, Security	https://www.resolveit.net	Beverly, Massachusetts, United States	Resolve IT renders cloud infrastructure, remote access, SAAS, cybersecurity, data backup and recovery services.	648,538	2,922				2	1.5		50%		4,349,795			Greater Boston Area, East Coast, New England	Active	2005-01-01	year		11-50				30172.0	USD	30172.0	https://www.resolveit.net/how-exactly-is-the-gdpr-working-to-incorporate-blockchain/
Metrist	https://www.crunchbase.com/organization/metrist	Metrist creates visibility into the availability, functionality, and performance of the apps and APIs that power software on the internet, so that no application developer or user ever has to wonder what the impact of an external service is on their business.	Application Performance Management, Cloud Data Services, Cloud Infrastructure, Developer APIs, Developer Tools, SaaS, Software	https://metrist.io/	San Francisco, California, United States	Performance & availability monitoring for the cloud apps your SaaS depends on	31,493	2,917				0	1.0		100%		4,284,456			San Francisco Bay Area, West Coast, Western US	Active	2020-09-01	month	2.0	1-10	Jeff Martens, Ryan Duffield						https://metrist.io/privacy-policy/
CNEX Labs	https://www.crunchbase.com/organization/cnex-labs	CNEX provides revolutionary solid-state storage semiconductor and software solutions for cloud, hyper-scale, and enterprise data centers. The company delivers innovative storage semiconductor and software solutions, partnering with solid-state storage manufacturers, data center and systems customers to develop revolutionary NVMe and Open-Channel SSD controller ASICs that deliver high-performance with low and predictable latency, scalability and flexibility for software-defined-storage.   CNEX controller products are key to accelerating the capabilities of big data compute and analytics for the next generation of cloud, hyperscale and enterprise data centers. The customers use CNEX SSD controllers to deliver differentiated SSD solutions for low-power and high-performance in M.2, U.2, U.3, HHHL, EDSFF, and other form-factors. CNEX Labs was founded in 2013 and is headquartered in San Jose, California, United States.	Application Specific Integrated Circuit (ASIC), Big Data, Cloud Infrastructure, Data Storage, Flash Storage, Semiconductor, Software	https://www.cnexlabs.com	San Jose, California, United States	CNEX provides revolutionary solid-state storage semiconductor and software solutions for cloud, hyper-scale, and enterprise data centers.	14,607	2,916				0	1.0		100%		4,285,425			San Francisco Bay Area, Silicon Valley, West Coast	Active	2013-01-01	year	3.0	101-250	"Alan J Armstrong, Joseph DeFranco, Yiren ""Ronnie"" Huang"			755588.0	USD	755588.0	
CloudFirst	https://www.crunchbase.com/organization/cloudfirst-d293		Apps, Cloud Infrastructure, Information Technology, Software	https://www.cloudfirstinc.com	San Jose, California, United States	CloudFirst provides comprehensive Microsoft and cloud solutions to small and medium companies for efficient productivity and growth.	401,338	2,860		991.6%		0	1.0	-50%	100%		4,319,718	-4,396,825	-50.44%	San Francisco Bay Area, Silicon Valley, West Coast	Active	2010-01-01	year	1.0	11-50	Dennis Gentles						
Atlantic BT	https://www.crunchbase.com/organization/atlantic-bt	Atlantic BT is one of North Carolina's largest full-service web technology firms specializing in Higher Education, local and state Government, and eCommerce industries. They offer the full spectrum of digital solutions under one roof specializing in research & strategy, user experience design, front-end development, custom software development, cloud hosting, and cybersecurity. They have a proven track record in producing quality, award-winning solutions.	Cloud Infrastructure, Cloud Management, Cloud Security, Content Marketing, CRM, Cyber Security, Data Visualization, Digital Marketing, E-Commerce, E-Commerce Platforms, Enterprise Resource Planning (ERP), Government, Graphic Design, Higher Education, Information Technology, Market Research, Marketing Automation, UX Design, Web Design, Web Development, Web Hosting	https://www.atlanticbt.com	Raleigh, North Carolina, United States	Atlantic BT builds award-winning web solutions across a multitude of industries.	202,575	2,852	6,631.17	-54.13%	725%	0	1.0	-32.66%	100%	38.14%	4,323,689	1,639,938	61.11%	Research Triangle, East Coast, Southern US	Active	1998-09-14	day	1.0	101-250	Jon Jordan			978449.0	USD	978449.0	
IQ Wired	https://www.crunchbase.com/organization/iq-wired-721f		Cloud Infrastructure, Telecommunications, Wired Telecommunications	https://iqwired.net/	Denver, Colorado, United States	IQ Wired delivers telecom solutions that help clients purchase, deploy and manage services through a professional and personalized approach.	461,114	2,840		98.32%	-79.1%	0	1.0	0%	100%	0%	4,423,405	-1,640,995	-27.06%	Greater Denver Area, Western US	Active	2003-01-01	year	1.0	11-50	Tatiana Finkelsteyn			211755.0	USD	211755.0	https://iqwired.net/privacy-policy/
IOpipe	https://www.crunchbase.com/organization/iopipe	IOpipe is a serverless DevOps platform handling billions of events monthly to help teams build serverless applications better, faster, and stronger. With a shift in computing moving towards a serverless world, there are new challenges that emerge. They take a customer-centric approach to product building by working closely with their users to solve challenges together. They are building a remote-first, diverse team that is friendly, works hard, and is laser focused on building a great product that is best of breed for serverless application development and operations. 	Cloud Infrastructure, Information Technology, Internet of Things, SaaS, Software	https://www.iopipe.com/	Seattle, Washington, United States	IOpipe is the serverless DevOps platform built for teams building and running event-driven architectures in AWS Lambda.	61,972	2,834	8,339	-92.48%	-38.41%	0	1.0	0%	100%	0%	4,334,753	3,389,085	358.38%	Greater Seattle Area, West Coast, Western US	Active	2015-10-14	day	2.0	1-10	Adam Johnson, Erica Windisch						https://www.iopipe.com/privacy/
CyberGuard360	https://www.crunchbase.com/organization/cyberguard360	CyberGuard360 is a provider of cybersecurity solutions and services for an IT department, SOC, MSP, and MSSP to manage, monitor, and mitigate cyber threats. CyberGuard360 specialized in advanced endpoint security, anti-ransomware, email and web gateway, DNS security, Dark Web monitoring, social engineering and security awareness training, and firewall security.	A/B Testing, Cloud Infrastructure, Cyber Security, Network Security, Software	https://cyberguard360.com	Wilton, Connecticut, United States	CyberGuard360 is a security service provider that creates a new category of cyber security tools for security management and mitigation.	241,244	2,830	3,157.83	-32.62%	18.18%	26	2.0	0%	50%	25%	4,429,957	759,487	20.69%	East Coast, New England, Northeastern US	Active	2016-01-01	year	1.0	51-100	Al Alper						https://cyberguard360.com/privacy/
Sieve	https://www.crunchbase.com/organization/sieve-data	Sieve develops AI infrastructure focusing primarily on video data intended to help developers spend less time building data infrastructure and computer vision models themselves. Founded in late 2021 by Mokshith Voodarla and Abhinav Ayalur, the company creates APIs, infrastructure, and abstractions empowering teams to process, search, and understand video.	Artificial Intelligence, Cloud Infrastructure, Developer APIs, Machine Learning, Software, Video	https://www.sievedata.com/	San Francisco, California, United States	Sieve is an ML infrastructure company that provides easy to use APIs, infrastructure, and interfaces for video AI.	162,859	2,818	3,865.67	51.67%	-87.22%	23	1.2	-25.72%	93.22%	43.86%	4,343,873	-491,004	-10.16%	San Francisco Bay Area, West Coast, Western US	Active	2022-01-01	month	2.0		Abhinav Ayalur, Mokshith Voodarla						https://www.sievedata.com/privacy
SYN CUBES	https://www.crunchbase.com/organization/binary-brotherhood	Security Skills as a Service platform bridges the current skillset gap by combining global offensive security talent with smart automation, providing real-time data you need to make informed decisions.	Cloud Infrastructure, Cloud Management, Cloud Security, Consulting, Cyber Security, Information Services, Information Technology, Penetration Testing, Security	https://syncubes.com	Claymont, Delaware, United States	We save you hours, days or even weeks in expensive future remediation efforts	464,790	2,813		117.05%		0	1.0	0%	100%	0%	4,346,773	-1,842,956	-29.77%	Greater Philadelphia Area, East Coast, Southern US	Active	2020-01-28	day	3.0	1-10	Alexandru Marin, Cory Wilkes, Dragos Stanescu						
Tek Ninjas	https://www.crunchbase.com/organization/tek-ninjas		Cloud Infrastructure, Information Technology, Software	https://tekninjas.com/	Lewisville, Texas, United States	Tek Ninjas develops and delivers innovative technologies in web, app development, cloud and mobility along with a professional service.	301,064	2,786		13.02%	-83.33%	3	1.75	16.66%	25%	-50%	4,365,324	-82,835	-1.86%	Dallas/Fort Worth Metroplex, Southern US	Active	2015-01-01	year		101-250				369513.0	USD	369513.0	https://tekninjas.com/privacy/
