Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Shurhold Industries,https://www.crunchbase.com/organization/shurhold-industries,1973-01-01,year,11-50,,https://shurhold.com/,"Automotive, Chemical, Manufacturing, Productivity Tools","Palm City, Florida, United States","Shurhold Industries designs and manufactures specialty care and accessory products for the marine, RV and automotive industries.","578,325","34,904","12,314.5",299.86%,"2,321.21%",799,3.63,110.66%,62.86%,126.52%,"1,082,874","-1,263,364",-53.85%
AceMicromatic Group,https://www.crunchbase.com/organization/acemicromatic-group,1973-01-01,year,1001-5000,,https://www.acemicromatic.net/,"Electronics, Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools","Bengaluru, Karnataka, India","AceMicromatic Group specializes in turning, milling, grinding, industrial equipment, and CNC-controlled machines solutions.","682,112","4,963","27,184",51.82%,-1.33%,74,2.5,4.36%,47.92%,18.32%,"3,444,914","-633,811",-15.54%
Baublys Laser,https://www.crunchbase.com/organization/baublys-laser,1973-01-01,year,11-50,,https://www.baublys.de,"Industrial, Manufacturing, Product Design, Productivity Tools","Ludwigsburg, Mecklenburg-Vorpommern, Germany","Baublys Laser is an industrial company that manufactures and sells laser inscription, marking equipment, and laser cutting systems.","981,048",,,,,,,,,,,,
Vega International Tools,https://www.crunchbase.com/organization/vega-international-tools,1973-01-01,year,11-50,"Vega International Tools is a machine tool manufacturer that supplies machine equipment, tools, and accessories for both lathes and machining centers. The firm imports and distributes precision mechanical items from companies. In addition, it also provides integrated solutions to increase the performance of machine equipment.",https://www.vegaonline.net/,"Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","Turin, Piemonte, Italy",Vega International Tools is a manufacturing company that produces equipment and tools for lathes and for machining centers.,"1,223,620",,,,,,,,,,,,
Tru-Form Industries,https://www.crunchbase.com/organization/tru-form-industries,1973-01-01,year,101-250,,https://www.tru-form.com/,"Industrial Manufacturing, Manufacturing, Product Design, Productivity Tools","Santa Fe Springs, California, United States","Tru-Form Industries is a electrical and electronic manufacturing company that offers stampings, metal fabrication, laser cutting, and design","1,267,420",,,,,,,,,,,,
Jenny Tools,https://www.crunchbase.com/organization/jenny-tools,1973-01-01,year,11-50,"Jenny Tools is a company that makes precision hand tools for cable cutting and crimping. They provide hand tool values for the electrical and telecommunications industries. They manufacture manual cutters, racket cutters, and crimping tools. They manufacture anything from raw steel bars to finished goods.",https://electrolinecorp.com,"Machinery Manufacturing, Manufacturing, Productivity Tools","Pipersville, Pennsylvania, United States",Jenny Tools is a manufacturer of precision hand tools for cable cutting and crimping tools.,"1,283,096",,,,,,,,,,,,
OEC Workplace Solutions,https://www.crunchbase.com/organization/oec-workplace-solutions,1973-01-01,year,11-50,,https://oecws.com/,"E-Commerce, Furniture, Manufacturing, Printing, Productivity Tools, Retail","Mobile, Alabama, United States","OEC Workplace Solutions is an online store that sells office supplies, furniture, printing, janitorial, and cleaning products.","1,397,762",189,,,,0,1,,100%,,"9,749,991",,
Kennco Manufacturing,https://www.crunchbase.com/organization/kennco-manufacturing,1973-01-01,year,11-50,,https://www.kenncomfg.com,"Machinery Manufacturing, Manufacturing, Productivity Tools","Ruskin, Florida, United States","Kennco Manufacturing designs and produces bed shapers, sprayers, fertilizers, tractor attachments, farm machinery, and equipment.","1,701,601",356,,-97.55%,"3,625%",0,1,-62.36%,100%,773.36%,"8,932,078","7,167,365",406.15%
Amar,https://www.crunchbase.com/organization/amar,1974-01-01,year,101-250,,https://amarequip.com,"Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools","Mumbai, Maharashtra, India","Amar is a manufacturing company that designs and produces high-pressure vessels, batch, continuous reactors, and allied systems.","478,676","2,548",,,,41,2.04,,64.74%,,"4,645,873",,
Grind All,https://www.crunchbase.com/organization/grind-all,1974-01-01,day,101-250,,https://www.grindall.com/,"Industrial Design, Industrial Manufacturing, Productivity Tools","Brunswick, Ohio, United States",Grind All is a provider of precision grinding and flat lapping solutions company.,"515,418",,,,,,,,,,,,
Byler Rivet,https://www.crunchbase.com/organization/byler-rivet,1974-01-01,year,,,https://bylerrivet.com/,"Construction, Manufacturing, Productivity Tools, Supply Chain Management","Irving, Texas, United States","Byler Rivet is a tooling distributor that offers full line fastener, rivet, rivet guns and rivet repair parts.","537,357","1,778",,5.39%,,0,1,0%,100%,0%,"5,431,308","156,550",2.97%
Piranha Fabrication Equipment,https://www.crunchbase.com/organization/piranha-fabrication-equipment,1974-01-01,year,1-10,,https://piranhafab.com/,"Industrial, Industrial Engineering, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Productivity Tools","Rockford, Illinois, United States",Piranha Fabrication Equipment is a metal fabrication equipment and metal cutting machines manufacturing company.,"539,733","4,698","8,053.5",-52.6%,1.16%,0,1,-39.13%,100%,55.55%,"3,533,020","1,341,077",61.18%
Hittco Tools,https://www.crunchbase.com/organization/hittco-tools,1974-01-01,year,101-250,,http://www.hittco.com,"Industrial Engineering, Industrial Manufacturing, Manufacturing, Productivity Tools","Bengaluru, Karnataka, India","Hittco Tools manufactures HSS, solid carbide tools such as endmills, drills for various industries.","541,337",,,,,,,,,,,,
Collomix,https://www.crunchbase.com/organization/collomix,1974-01-01,year,101-250,"Collomix is used to mix the components used in construction company. Their products includes collomixer, paddles, collomatic, workflow tools, and car painting. They also provides dealer search, repair shops , and mix atlas.",http://www.collomix.de,"Construction, Manufacturing, Productivity Tools, Sales","Gaimersheim, Bayern, Germany",Collomix is a manufacturer of construction material mixing equipments.,"595,177",,,,,,,,,,,,
Hirsch Feed and Farm Supply,https://www.crunchbase.com/organization/hirsch-feed-and-farm-supply,1974-01-01,year,51-100,,https://hirschfeed.com/,"Animal Feed, Farming, Machinery Manufacturing, Manufacturing, Productivity Tools, Supply Chain Management","West Plains, Missouri, United States","Hirsch Feed and Farm Supply manufactures cattle equipment, feeders, panels, post, poultry supplies, and wire products.","842,631","5,485",,191.6%,-76.52%,54,2,-69.23%,60%,0%,"3,313,146","-1,739,499",-34.43%
BGM Fastener,https://www.crunchbase.com/organization/bgm-fastener,1974-01-01,year,,,http://bgmfastener.com/,"Aerospace, Industrial, Manufacturing, Military, Productivity Tools","Honesdale, Pennsylvania, United States","BGM Fastener is a manufacturing company that produces a wide range of hardware, kitting, fasteners, equipment, and COTS products.","907,999",,,,,,,,,,,,
Masons Kings,https://www.crunchbase.com/organization/masons-kings,1974-01-01,year,51-100,,https://www.masonskings.co.uk/,"Agriculture, Automotive, Farming, Machinery Manufacturing, Productivity Tools","Newton Abbot, Devon, United Kingdom","Masons Kings is a dealership agency that offers a wide range of agricultural machinery, turf equipment, dung spreaders, and trailers.","1,028,528",519,,,,85,7,,0%,,"8,138,892",,
John Latta Associates,https://www.crunchbase.com/organization/john-latta-associates,1974-01-01,year,11-50,,https://www.sealantspecialists.com,"Building Material, Construction, Productivity Tools, Supply Chain Management","Tukwila, Washington, United States","John Latta Associates is a distribution company that supplies sealants, tapes, waterproofing, coating, and concrete forming products.","1,332,617","8,727",,,,56,1.33,,66.67%,,"2,407,826",,
ASAHITEC Stencils,https://www.crunchbase.com/organization/asahitec,1974-01-01,year,11-50,"ASAHITEC provides manufacturing for laser-cut stencils, patented F2-Polishing, and screen stretching, etc. They supply electro-formed stencils, and etching stencils.",https://www.asahitec.in,"Industrial, Industrial Manufacturing, Manufacturing, Productivity Tools","Kottaiyur, Tamil Nadu, India",ASAHITEC is a manufacturer of laser cut stencils.,"1,359,403",,,,,,,,,,,,
JRA,https://www.crunchbase.com/organization/jra,1974-01-01,day,11-50,,http://www.jra1.de,"Industrial, Manufacturing, Productivity Tools, Sales","Reichenbach, Baden-Wurttemberg, Germany","JRA is a leading supplier of pressure gauges, filters, measuring hoses, and hydraulic accessories.","1,368,745",,,,,,,,,,,,
TBW Industries,https://www.crunchbase.com/organization/tbw-industries,1974-01-01,year,1-10,"TBW Industries is a supplier of polishing solutions. They offer products that maximize polishing performance with consistent quality and exceptional life, delivering the best total value to our customers.",http://www.tbw-inc.com,"Electronics, Manufacturing, Productivity Tools","Furlong, Pennsylvania, United States","TBW Industries is a superabrasive manufacturer that provides superior products for electronic, laboratory, and industrial applications.","1,531,929",,,,,,,,,,,,
Uni Deritend,https://www.crunchbase.com/organization/uni-deritend,1974-01-01,year,51-100,"Uni Deritend is a manufacturing process in which a wax pattern is used to shape a disposable ceramic mold. A wax pattern is made in the exact shape of the item to be cast. This pattern is coated with a refractory ceramic material. Indigenization of binders, waxes and stucco materials. In-house development of binder formulations. In-house manufacturing of pattern waxes- filled and unfilled, water soluble waxes, ceramic filters, riser waxes.",https://www.unideritend.com,"Industrial Manufacturing, Manufacturing, Mechanical Design, Product Design, Productivity Tools","Mumbai, Maharashtra, India",Uni Deritend is a manufacture of investment castings.,"1,562,171",,,,,,,,,,,,
mimatic,https://www.crunchbase.com/organization/mimatic,1974-01-01,year,51-100,"mimatic brand is acknowledged worldwide for its compliance with strict product requirements in the context of integrated system solutions for the machining segment. Their products are used for large volume manufacturing and facilitate complete processing without multiple clamping of complex workpieces. Their customer can contact them through phone, mail, and social media.",https://www.mimatic.de,"Automotive, Manufacturing, Mechanical Engineering, Productivity Tools","Betzigau, Bayern, Germany","mimatic is a manufacturer of CNC tools for the automotive, aircraft, and woodworking industries.","1,640,508",128,,,,169,2,,0%,,"10,224,474",,
Bryson Products,https://www.crunchbase.com/organization/bryson-products,1974-01-01,year,101-250,,https://www.bryson.co.uk,"Industrial, Manufacturing, Productivity Tools","Coulsdon, Croydon, United Kingdom","Bryson is an importer, manufacturer and distributor of fixing, temporary protection and safety protection products.","1,693,523","3,646","9,055.67",9.89%,-94.12%,7,1.5,-53.68%,50%,-9.47%,"3,895,387","-130,160",-3.23%
Brownstown Quality Tool & Automation,https://www.crunchbase.com/organization/brownstown-quality-tool-automation,1974-01-01,year,,,http://bqtd.com/,"Industrial, Manufacturing, Productivity Tools, Test and Measurement","Brownstown, Indiana, United States","Brownstown Quality Tool & Automation is a tool and dies shop that includes wire cut EDM, CNC milling, and reverse engineering.","1,856,941",,,,,,,,,,,,
